id;starttime;endtime;description;type;subtype;street;polyline;direction
20241003T082352_22_3630;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8565347605150322 2.3555369116067708 48.8569525611540811 2.3537289556893217;ONE_DIRECTION
20250514T165956_43_2092;2025-05-14T16:59:56+02:00;2025-05-29T18:00:00+02:00;Travaux:Maitre d'ouvrage Fraicheur de Paris/Pont au change/fermeture de la bidirectionnelle vélo sur le pont.;CONSTRUCTION;;Pt_au_Change;48.8562147540368628 2.3465193391343164 48.8571804240409691 2.3471158107455485;ONE_DIRECTION
20250527T213126_5338_1106;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Reuilly;48.8335405816936756 2.4077437055284650 48.8326831736894462 2.4059613704759282 48.8315637255112449 2.4039966838526596 48.8307246113569917 2.4026220973606187;ONE_DIRECTION
20241003T082352_374_1060;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;St_Antoine;48.8539396055919610 2.3647612444729278 48.8543173510283566 2.3637201767521603;ONE_DIRECTION
20250527T213126_1470_2335;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AI_Lilas;48.8776054386440961 2.4082931933297065 48.8766018997755296 2.4089277033629841;ONE_DIRECTION
20250527T213126_5200_1832;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Brancion;48.8247605062208265 2.3047525619133653 48.8260427547334217 2.2990199920357761;ONE_DIRECTION
20250527T213126_5212_1292;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Heliport;48.8348877823628911 2.2744222636673475 48.8353691954935485 2.2719068612284055;ONE_DIRECTION
20250527T213126_5298_1107;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Haubans;48.8249905899586807 2.3845162220980201 48.8242816612552204 2.3832773461478665 48.8233520798785321 2.3817157097031370 48.8217568247432396 2.3791075962516448 48.8214201564304702 2.3784488658778971 48.8210458848153834 2.3773778390977767 48.8206303888260251 2.3760541407969678;ONE_DIRECTION
20250527T213126_5493_3575;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Bercy_bretelle_8;48.8284075386736092 2.3878964484296619 48.8281634282313846 2.3883247242705412 48.8279890033629869 2.3885672633472477 48.8278347261380290 2.3888401590258721 48.8277845722423365 2.3891613343574827 48.8277745669561654 2.3893859240026027 48.8277671345279529 2.3895525774877973 48.8277238755939393 2.3898682086966572 48.8275905084265531 2.3901169348345253 48.8274341447675155 2.3902547079534395;ONE_DIRECTION
20250527T213126_1463_2059;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AI_Bagnolet;48.8649001716221392 2.4117698642741860 48.8644811779611317 2.4123134675895774 48.8641920632072200 2.4127560222973368 48.8640105986823414 2.4128980326775800 48.8637458755382639 2.4129800354825917 48.8632049413411522 2.4131232581073117;ONE_DIRECTION
