Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
AULNAY-SOUS-BOIS;87271411;DIM;2019-03-17;2019;B;B;De 16h à 20h;3413
VILLIERS-SUR-MARNE-LE-PLESSIS-TREVISE;87113795;SAM;2022-03-19;2022;E;E;De 10h à 16h;3186
AULNAY-SOUS-BOIS;87271411;DIM;2021-12-09;2021;T4;T4;Avant 6h;51
VILLIERS-SUR-MARNE-LE-PLESSIS-TREVISE;87113795;DIM;2022-03-20;2022;E;E;De 10h à 16h;2884
AULNAY-SOUS-BOIS;87271411;DIM;2021-12-09;2021;T4;T4;De 10h à 16h;1686
VILLIERS-SUR-MARNE-LE-PLESSIS-TREVISE;87113795;JOB;2022-03-22;2022;E;E;Après 20h;456
AULNAY-SOUS-BOIS;87271411;DIM;2021-12-09;2021;T4;T4;De 16h à 20h;1266
VILLIERS-SUR-MARNE-LE-PLESSIS-TREVISE;87113795;JOB;2022-03-22;2022;E;E;Avant 6h;334
AULNAY-SOUS-BOIS;87271411;JOB;2021-09-21;2021;T4;T4;Avant 6h;52
VILLIERS-SUR-MARNE-LE-PLESSIS-TREVISE;87113795;JOB;2022-03-22;2022;E;E;De 16h à 20h;2494
AULNAY-SOUS-BOIS;87271411;JOB;2021-09-21;2021;T4;T4;De 16h à 20h;3679
VIROFLAY-RIVE-DROITE;87382887;SAM;2023-11-18;2023;L;L2;Après 20h;226
AULNAY-SOUS-BOIS;87271411;JOB;2023-05-10;2023;B;B;Avant 6h;1209
VIROFLAY-RIVE-DROITE;87382887;DIM;2023-11-19;2023;L;L2;Après 20h;143
AULNAY-SOUS-BOIS;87271411;JOB;2023-11-14;2023;K;K;De 6h à 10h;2949
